Family	16SAMP-12028	16SAMP-12029	16SAMP-12030	16SAMP-12031	16SAMP-12032	16SAMP-12033	16SAMP-12034	16SAMP-12035	16SAMP-12036	16SAMP-12037	16SAMP-12038	16SAMP-12039	16SAMP-12040	16SAMP-12041	16SAMP-12042	16SAMP-12043	16SAMP-12044	16SAMP-12045	16SAMP-12046	16SAMP-12047	16SAMP-12048	16SAMP-12049	16SAMP-12050	16SAMP-12051	16SAMP-12052	16SAMP-12053	16SAMP-12054	16SAMP-12055	16SAMP-12056	16SAMP-12057	16SAMP-12058	16SAMP-12059	16SAMP-12060	16SAMP-12061	16SAMP-12062	16SAMP-12063	16SAMP-12064	16SAMP-12065	16SAMP-12066	16SAMP-12067	16SAMP-12068	16SAMP-12069	16SAMP-12106	16SAMP-12107	16SAMP-12108	16SAMP-12109	16SAMP-4961	16SAMP-4962	16SAMP-4963	16SAMP-4964	16SAMP-4965	16SAMP-4966	16SAMP-4967	16SAMP-4968	16SAMP-4969	16SAMP-4970	16SAMP-4971	16SAMP-4972	16SAMP-4973	16SAMP-4974	16SAMP-4975	16SAMP-4976	16SAMP-4977	16SAMP-4978	16SAMP-4979	16SAMP-4980	16SAMP-4981	16SAMP-4982	16SAMP-4983	16SAMP-4984	16SAMP-4985	16SAMP-4986	16SAMP-4987	16SAMP-4988	16SAMP-4989	16SAMP-4990	16SAMP-4991	16SAMP-4992	16SAMP-4993	16SAMP-4994	16SAMP-4995	16SAMP-4996	All
Bradyrhizobiaceae	0	0.0179	0	0	0.00743	0	0.00854	0	0	0	0.0133	0	0	0	0	0	0	0.0117	0	0.0178	0	0.0071	0	0	0	0.00677	0.00736	0.00514	0	0.0133	0	0	0	0	0	0.00476	0.183	0.17	0.0237	0	0	0.0411	0.0976	0.0635	0.0828	0.0677	0	0	0	0.00163	0.00211	0.00132	0.00164	0	0	0.00256	0	0	0	0.00238	0	0	0	0	0.0896	0.083	0.156	0.0752	0.176	0.0166	0.0287	0.0878	2.11	0	0	0	0	0	0	0	0	0	0.9
Nocardiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00424	0	0	0	0	0	0	0	0	0	0.091	0.043	0.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Anaerolineaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144	0	0	0.0119	0	0	0	0	0	0	0	0	0	0	0	0	0.00958	0	0	0	0	0	0	0.699	0.299	0.123	0	0	0	0	0	0	0.00258	0	0	0	0	0	0.000458	0	0.00212	0	0	0	0	0	0	0	0	0	0	0.0107	0	0	0	0	0	0	0	0.00393	0	0	0	0	0	0.00611	0.9
Enterococcaceae	0	0	0	0.0067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00457	0	0.00394	0	0.0332	0.0541	0.0902	0.00814	0.0253	0.0172	0.0997	0.344	0.164	0	0	0.0152	0	0	0	0	0	0.00484	0.747	0.394	1.29	2.16	1.36	0.698	0.566	2.62	0	0.249	0.2	27.1	0.142	0.0335	0.0237	16.6	38.4	5.84	0.9
Clostridiales_Incertae_Sedis_XI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0	0.00497	0	0	0	0	0	0	0	0	0	0.0118	0	0	0	0.00152	0.00198	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Clostridiaceae_1	0	0	0	0	0	0	0	0	0	0	0.0133	0	0	0	0	0	0.0288	0	0.0102	0.0119	0	0.0071	0	0	0	0	0.00736	0	0	0	0	0	0	0	0	0.00951	0.0262	0.034	0	1.4	0.898	0.123	0	0.00595	0	0	0.00369	0	0	0	0	0	0	0.00143	0	0.00512	0	0	0	0	0	0	0	0	0.00498	0	0.013	0.0215	0.0439	0.0582	0.0215	0.0549	0	0	0	0	0.00195	0	0.00264	0	0	0	0.9
Peptostreptococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0.068	0	0.35	0.2	0.0411	0.0762	0.0178	0	0	0	0	0.00773	0	0.00211	0	0	0	0.000458	0.00512	0	0	0	0	0	0	0	0	0.00996	0.0104	0.052	0.0322	0.0439	0.0249	0.0287	0.011	0	0	0	0.00393	0	0	0	0	0	0	0.9
Chloroplast	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262	0.068	0.0237	0	0	0	0.00305	0.0615	0	0	0.00369	0	0.00258	0	0	0.00132	0	0	0.0229	0.0179	0	0.00507	0.00196	0	0.00983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9
Planococcaceae	0.228	0	0	0.0871	0.0297	0.00835	0.41	0.0328	0.0311	0.527	0	0	0	0	0.00936	0.048	0	0	0.0611	0.00593	0	0.0355	0	0	0.0136	0	0	0.0206	0	0	0.0423	0	0.00958	0	0	0	0	0.017	0.107	0	0	0	0	0.00397	0	0	0.00369	0	0	0	0	0	0.00164	0	0	0	0	0	0	0	0	0.00319	0	0	0.184	0.0311	0.884	0.0645	1.84	1.04	0.0645	0.724	0	33.2	29.2	36.5	6.73	8.83	2.46	14	3.36	1.44	0.6
Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00996	0.0311	0.026	0.0107	0.0146	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6
